,Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Cause_of_accident,Accident_severity
15,22:45:00,Monday,18-30,Female,Junior high school,> 10,Lorry,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,No distancing,Serious
16,22:45:00,Monday,18-30,Male,Junior high school,"(5, 10)",Public,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,Moving Backward,Slight
17,22:45:00,Monday,18-30,Male,Elementary school,"(2, 5)",Public,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,Changing lane to the right,Serious
18,22:45:00,Monday,18-30,Male,Junior high school,"(2, 5)",Automobile,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Moving Backward,No priority to pedestrian,Slight
19,08:20:00,Tuesday,18-30,Male,Junior high school,< 1,Long lorry,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Moving Backward,Serious
20,08:20:00,Tuesday,Under 18,Male,Junior high school,"(2, 5)",Lorry,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Getting off the vehicle improperly,Slight
21,15:10:00,Thursday,18-30,Male,Junior high school,"(2, 5)",Lorry, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Moving Backward,Overtaking,Serious
22,12:11:00,Thursday,18-30,Male,Elementary school,"(5, 10)",Lorry,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,2,1,Getting off,Overloading,Serious
23,12:11:00,Thursday,31-50,Male,Junior high school,> 10,Public, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Changing lane to the right,Serious
24,18:36:00,Wednesday,18-30,Male,Junior high school,unknown,Automobile,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,2,3,Turnover,Improper parking,Slight
25,18:36:00,Wednesday,18-30,Male,Junior high school,"(2, 5)",Taxi,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,3,Going straight,Other,Slight
26,18:36:00,Wednesday,18-30,Unknown,Junior high school,"(5, 10)",Automobile,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,3,Going straight,Changing lane to the left,Slight
27,14:35:00,Friday,18-30,Male,Above high school,"(2, 5)",Automobile,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Going straight,Changing lane to the right,Slight
28,12:25:00,Tuesday,Over 51,Unknown,Junior high school,unknown,Automobile,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight
29,12:25:00,Tuesday,18-30,Male,Junior high school,"(1, 2)",Lorry, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,Overspeed,Slight
30,15:30:00,Monday,18-30,Male,Junior high school,"(2, 5)",Automobile,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Going straight,Changing lane to the left,Slight
31,18:10:00,Thursday,18-30,Male,Junior high school,> 10,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,1,1,Moving Backward,No priority to vehicle,Slight
32,15:25:00,Thursday,18-30,Male,Junior high school,< 1,Lorry,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Changing lane to the right,Slight
33,15:25:00,Thursday,31-50,Unknown,Junior high school,"(2, 5)",Automobile,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,No distancing,Slight
34,13:57:00,Saturday,Over 51,Male,Junior high school,< 1,Automobile,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,No priority to pedestrian,Slight
35,13:57:00,Saturday,18-30,Male,High school,"(5, 10)",Automobile,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,2,1,Going straight,No distancing,Slight
36,20:30:00,Friday,18-30,Male,Above high school,"(1, 2)",Taxi,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,2,2,Going straight,No priority to vehicle,Slight
37,20:30:00,Friday,Over 51,Male,Junior high school,< 1,Automobile,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Other,Slight
38,20:30:00,Friday,Over 51,Male,Junior high school,unknown,Automobile,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,2,2,Going straight,Driving carelessly,Slight
39,16:30:00,Sunday,Over 51,Male,High school,< 1,Automobile, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Changing lane to the left,Slight
40,16:30:00,Sunday,31-50,Male,High school,< 1,Pick up upto 10Q,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight
41,21:50:00,Sunday,31-50,Male,Junior high school,unknown,Automobile, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Changing lane to the left,Slight
42,21:50:00,Sunday,18-30,Male,High school,"(2, 5)",Automobile,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,2,Going straight,No priority to vehicle,Slight
43,09:12:00,Wednesday,18-30,Male,Junior high school,> 10,Public,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
44,09:12:00,Wednesday,18-30,Male,Junior high school,> 10,Public,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Changing lane to the right,Slight
45,14:40:00,Friday,31-50,Male,Junior high school,"(5, 10)",Lorry,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Changing lane to the right,Serious
46,10:36:00,Friday,31-50,Male,Junior high school,"(1, 2)",Stationwagen,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving at high speed,Slight
47,10:36:00,Friday,31-50,Male,Unknown,< 1,Ridden horse,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
48,18:19:00,Monday,18-30,Male,Junior high school,< 1,Stationwagen,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,Changing lane to the right,Slight
49,18:19:00,Monday,18-30,Male,High school,"(2, 5)",Automobile,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the left,Slight
50,19:12:00,Tuesday,18-30,Male,Junior high school,"(1, 2)",Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Getting off the vehicle improperly,Slight
51,19:12:00,Tuesday,31-50,Male,Junior high school,"(5, 10)",Other,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Other,Slight
52,11:38:00,Saturday,Over 51,Male,Elementary school,"(2, 5)",Taxi,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Going straight,Other,Slight
53,11:38:00,Saturday,31-50,Male,Elementary school,"(5, 10)",Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,No distancing,Slight
54,11:38:00,Saturday,31-50,Male,Junior high school,> 10,Stationwagen, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,No priority to vehicle,Slight
55,11:38:00,Saturday,18-30,Unknown,Junior high school,"(5, 10)",Automobile,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Overtaking,Slight
56,13:30:00,Thursday,18-30,Male,High school,"(5, 10)",Public, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Going straight,No priority to pedestrian,Slight
57,13:30:00,Thursday,31-50,Male,Junior high school,"(5, 10)",Automobile,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Slight
58,12:39:00,Tuesday,18-30,Unknown,Junior high school,> 10,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
59,12:39:00,Tuesday,Over 51,Male,Junior high school,"(1, 2)",Lorry,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight
60,12:30:00,Friday,18-30,Male,Junior high school,"(2, 5)",Automobile, Industrial areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
61,12:30:00,Friday,31-50,Male,Junior high school,"(1, 2)",Public, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Overtaking,Slight
62,16:55:00,Sunday,31-50,Male,Junior high school,unknown,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Other,Slight
63,16:55:00,Sunday,31-50,Male,Elementary school,"(5, 10)",Public, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving to the left,Slight
64,18:25:00,Monday,Unknown,Female,Junior high school,"(5, 10)",Public,Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving at high speed,Slight
65,18:25:00,Monday,31-50,Male,Junior high school,> 10,Automobile, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Unknown,Slight
66,13:01:00,Thursday,31-50,Unknown,Junior high school,"(2, 5)",Automobile, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Changing lane to the right,Slight
67,13:01:00,Thursday,18-30,Male,Junior high school,> 10,Automobile,Office areas,other,Tangent road with flat terrain,O Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Unknown,No distancing,Slight
68,13:45:00,Wednesday,18-30,Male,Junior high school,"(2, 5)",Lorry,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Other,Slight
69,13:45:00,Wednesday,31-50,Male,Elementary school,"(5, 10)",Public,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to vehicle,Slight
70,18:45:00,Monday,18-30,Male,Elementary school,"(5, 10)",Lorry,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Reversing,Changing lane to the left,Slight
71,18:45:00,Monday,31-50,Male,Junior high school,"(5, 10)",Automobile,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,No priority to pedestrian,Slight
72,11:02:00,Thursday,31-50,Male,Junior high school,"(5, 10)",Automobile,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Overtaking,Slight
73,11:02:00,Thursday,31-50,Male,Elementary school,> 10,Automobile,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,Driving carelessly,Slight
74,11:02:00,Thursday,31-50,Male,Junior high school,< 1,Bajaj,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,No priority to vehicle,Slight
75,11:02:00,Thursday,31-50,Male,Junior high school,"(5, 10)",Public,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,4,Going straight,No priority to pedestrian,Slight
76,15:55:00,Tuesday,Over 51,Male,Elementary school,"(1, 2)",Lorry,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Turnover,Changing lane to the right,Serious
77,15:00:00,Wednesday,Over 51,Unknown,Junior high school,unknown,Automobile,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driving carelessly,Slight
78,20:00:00,Sunday,31-50,Male,Junior high school,> 10,Automobile,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Changing lane to the right,Slight
79,20:00:00,Sunday,Under 18,Male,High school,"(2, 5)",Automobile, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
80,18:48:00,Wednesday,31-50,Male,Junior high school,"(1, 2)",Lorry, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Changing lane to the left,Serious
81,18:48:00,Wednesday,31-50,Male,Junior high school,"(1, 2)",Lorry,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Overturning,Serious
82,15:55:00,Sunday,Over 51,Male,Above high school,"(2, 5)",Pick up upto 10Q, Church areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,2,Going straight,Driving carelessly,Slight
83,15:55:00,Sunday,Over 51,Male,Junior high school,unknown,Lorry,Office areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Turnover,No distancing,Slight
84,23:25:00,Wednesday,Over 51,Unknown,Elementary school,"(2, 5)",Stationwagen,Office areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,3,Going straight,Driving carelessly,Slight
85,23:25:00,Wednesday,Over 51,Male,Junior high school,"(1, 2)",Other,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Going straight,Changing lane to the left,Slight
86,23:25:00,Wednesday,31-50,Male,Junior high school,"(5, 10)",Other,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Reversing,No priority to vehicle,Slight
87,07:40:00,Monday,18-30,Unknown,Junior high school,< 1,Lorry,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Serious
88,07:40:00,Monday,18-30,Male,Junior high school,"(2, 5)",Automobile,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No distancing,Serious
89,15:17:00,Sunday,31-50,Male,Junior high school,"(5, 10)",Automobile,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Moving Backward,Fatal injury
90,15:17:00,Sunday,31-50,Male,Junior high school,> 10,Lorry,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Moving Backward,Fatal injury
91,15:50:00,Monday,18-30,Male,Elementary school,"(2, 5)",Other,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,No distancing,Slight
92,15:50:00,Monday,18-30,Male,Elementary school,> 10,Lorry,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,No distancing,Slight
93,09:45:00,Sunday,Over 51,Male,Junior high school,"(1, 2)",Automobile, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,No distancing,Slight
94,09:45:00,Sunday,Over 51,Male,Junior high school,"(5, 10)",Pick up upto 10Q, Church areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,No priority to pedestrian,Slight
95,17:35:00,Thursday,18-30,Male,Junior high school,"(2, 5)",Lorry,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driving carelessly,Slight
96,17:35:00,Thursday,18-30,Male,Junior high school,"(2, 5)",Public,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the right,Slight
97,17:35:00,Thursday,31-50,Male,Junior high school,"(2, 5)",Long lorry,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Changing lane to the left,Slight
98,20:50:00,Sunday,18-30,Unknown,Junior high school,"(2, 5)",Automobile,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Driving carelessly,Slight
99,20:50:00,Sunday,Over 51,Male,Junior high school,> 10,Automobile, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Driving carelessly,Slight
100,21:32:00,Thursday,18-30,Male,Junior high school,> 10,Other,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,No distancing,Slight
101,21:32:00,Thursday,31-50,Male,Elementary school,"(5, 10)",Automobile,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Other,Slight
102,19:55:00,Monday,18-30,Male,Junior high school,unknown,Long lorry,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
103,19:55:00,Monday,18-30,Male,Junior high school,"(2, 5)",Public,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Going straight,Changing lane to the right,Slight
104,16:10:00,Monday,18-30,Male,Elementary school,"(5, 10)",Public,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Parked,No distancing,Slight
105,16:10:00,Monday,Over 51,Male,Junior high school,"(5, 10)",Other,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,No distancing,Slight
106,15:25:00,Monday,31-50,Unknown,Junior high school,> 10,Other, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Overturning,Slight
107,23:36:00,Thursday,Under 18,Male,Junior high school,"(5, 10)",Other,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,Driving at high speed,Serious
108,23:36:00,Thursday,Under 18,Male,Junior high school,> 10,Public,Other,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,No priority to vehicle,Serious
109,23:36:00,Thursday,Under 18,Male,Elementary school,< 1,Lorry,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,No priority to pedestrian,Serious
110,23:36:00,Thursday,Under 18,Male,Elementary school,"(5, 10)",Other,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - no lighting,Normal,Vehicle with vehicle collision,1,4,Going straight,No priority to vehicle,Serious
